headword,type,cefr,meaning,ipa,example,image_link,topic
farming,noun,B1,the activity of growing crops or raising animals,/'f??m??/,Farming is hard work.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farmland,noun,B1,land used for farming,/'f??ml?d/,The farmland is very fertile.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farther,adverb,B1,at or to a greater distance,/'f???(r)/,We walked farther than yesterday.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farthest,adverb,B1,at or to the greatest distance,/'f???st/,Who can jump the farthest?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fascinate,verb,B1,to attract and hold the attention of someone,/'f??ne?t/,Dinosaurs fascinate children.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fascinated,adjective,B2,very interested or attracted,/'f??ne?t?d/,She was fascinated by the story.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fascinating,adjective,A2,very interesting,/'f??ne?t??/,The book is fascinating.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fascination,noun,B2,the state of being very interested in something,/?f??'ne??n/,He has a fascination with space.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fashion,noun,A2,"a popular style of clothes, behavior, etc.",/'f?n/,She is interested in fashion.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fashionable,adjective,B1,popular at a particular time,/'f?n?bl/,Long skirts are fashionable now.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fast,adjective,A1,moving or happening quickly,/f??st/,He is a fast runner.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fast,adverb,A1,quickly,/f??st/,She runs fast.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fast food,noun,A2,hot food that is served quickly,/?f??st 'fu?d/,They ate fast food for lunch.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fasten,verb,B1,to close or join securely,/'f??sn/,Fasten your seatbelt.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fat,adjective,A1,having a lot of flesh; overweight,/f?/,The cat is fat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fat,noun,B2,a substance in food or the body; a person who is overweight,/f?/,Butter contains a lot of fat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fatal,adjective,B2,causing death,/'fe?tl/,The accident was fatal.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fate,noun,B2,"the things that happen to someone, especially things they cannot control",/fe?t/,He believed in fate.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
father,noun,A1,a male parent,/'f???(r)/,His father is a doctor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
father-in-law,noun,B2,the father of your husband or wife,/'f???r ?n l??/,My father-in-law is kind.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fault,noun,A2,a mistake; responsibility for a problem,/f??lt/,It was my fault.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faulty,adjective,B2,not working properly; having faults,/'f??lti/,The machine is faulty.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
favor/favour,noun,A2,a kind or helpful act; approval or support,/'fe?v?(r)/,Can you do me a favor?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
favorable/favourable,adjective,B1,showing approval; positive,/'fe?v?r?bl/,The reviews were favorable.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
favorite/favourite,adjective,A1,liked more than others,/'fe?v?r?t/,Blue is my favorite color.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
favorite/favourite,noun,A1,a person or thing that is liked more than others,/'fe?v?r?t/,Chocolate is my favorite.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fax,noun,B1,a document sent by a machine over a telephone line,/f?s/,Send me a fax.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fax,verb,B1,to send a document by fax machine,/f?s/,Please fax the report to me.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fear,noun,A2,an unpleasant emotion caused by danger or pain,/f??(r)/,He has a fear of heights.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fear,verb,B2,to be afraid of someone or something,/f??(r)/,She fears spiders.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fearsome,adjective,B2,frightening or alarming,/'f??s?m/,The lion is a fearsome animal.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feast,noun,B1,a large meal for many people; a celebration,/fi?st/,They had a feast for the holiday.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feat,noun,B2,an impressive or difficult achievement,/fi?t/,Climbing Everest is a great feat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feather,noun,A2,"one of the soft, light things that cover a bird's body",/'fe?(r)/,The bird lost a feather.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feature,noun,A2,an important or interesting part of something,/'fi?t??(r)/,The main feature is the pool.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feature,verb,B2,to include or show something as an important part,/'fi?t??(r)/,The movie features a famous actor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
February,noun,A1,the second month of the year,/'febru?ri/,My birthday is in February.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fed up,adjective,B2,"annoyed or bored, especially with something you have experienced for too long",/?fed '?p/,I'm fed up with this weather.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
federal,adjective,B2,relating to the central government of a country,/'fed?r?l/,The federal law applies to all states.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fee,noun,A2,an amount of money paid for a service,/fi?/,The entrance fee is $5.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feed,noun,A1,food for animals,/fi?d/,The farmer bought chicken feed.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feed,verb,B1,to give food to a person or animal,/fi?d/,She feeds the dog every morning.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feedback,noun,B2,advice or criticism about how well you are doing something,/'fi?db?/,The teacher gave feedback on my essay.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feel,noun,A2,an emotion or physical sensation,/fi?l/,I like the feel of this fabric.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feel,verb,A1,to experience an emotion or physical sensation,/fi?l/,I feel happy today.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feeling,noun,A1,an emotion or physical sensation,/'fi?l??/,She has a feeling of joy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fellow,adjective,B2,used to describe people who share the same interests or situation,/'fel??/,He helped his fellow students.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fellow,noun,B1,a man; a person in the same group or situation,/'fel??/,He is a good fellow.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
female,adjective,A2,being a woman or girl; relating to women or girls,/'fi?me?l/,The female students are in the front row.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
female,noun,B2,a woman or girl; a female animal,/'fi?me?l/,The female won the race.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fence,noun,A2,a structure that divides two areas of land,/fens/,The dog jumped over the fence.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ferry,noun,B1,a boat that carries people or goods across water,/'feri/,We took the ferry to the island.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ferryboat,noun,B2,a boat used to carry people or goods across water,/'ferib??t/,The ferryboat leaves every hour.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
festival,noun,A1,a special event or celebration,/'fest?vl/,The music festival was fun.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
festive,adjective,B1,cheerful and related to a festival or celebration,/'fest?v/,The room looked festive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fetch,verb,B1,to go and bring something back,/fet?/,Please fetch me a glass of water.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fever,noun,A1,a high body temperature,/'fi?v?(r)/,He has a fever.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
feverishly,adverb,B1,in a way that shows strong feelings or excitement,/'fi?v?r??li/,She worked feverishly to finish.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
few,determiner,A2,not many; a small number of,/fju?/,Few people came to the meeting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
few,pronoun,B1,not many people or things,/fju?/,Only a few attended.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fiber/fibre,noun,B2,"a thread or structure in plants, food, or fabric",/'fa?b?(r)/,Eat more fiber for good health.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fiction,noun,A2,stories about imaginary people and events,/'f?k?n/,She likes science fiction.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fictional,adjective,B2,not real; invented for a story,/'f?k??nl/,Sherlock Holmes is a fictional character.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
field,noun,A1,an area of land for farming or sports; a subject of study,/fi?ld/,The cows are in the field.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fierce,adjective,B2,very strong or violent,/f??s/,A fierce storm hit the city.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fifteen,number,A1,the number 15,/?f?f'ti?n/,There are fifteen students in the class.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fifth,noun,B1,the number 5 in a series,/f?f?/,He finished in fifth place.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fifty,number,A1,the number 50,/'f?fti/,She is fifty years old.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fight,noun,A1,an argument or physical struggle,/fa?t/,They had a fight.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fight,verb,B1,to use physical force or arguments against someone or something,/fa?t/,They fight all the time.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fighter,noun,A2,a person who fights; a type of military aircraft,/'fa?t?(r)/,He is a brave fighter.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fighting,noun,B2,the act of people or groups using physical force against each other,/'fa?t??/,There was fighting in the streets.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
figurative,adjective,B2,not using words in their usual meaning; metaphorical,/'f?g?r?t?v/,He used figurative language.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
figure,noun,A2,a number; a person; the shape of something,/'f?g?(r)/,The sales figures are high.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
figure,verb,A2,to think or believe something; to calculate,/'f?g?(r)/,I figure it will rain today.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
file,noun,A1,a collection of papers or information; a computer document,/fa?l/,Open the file on your computer.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
file,verb,B2,to put documents in order; to officially record something,/fa?l/,She filed the papers.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
filial,adjective,B2,relating to a son or daughter,/'f?li?l/,He showed filial respect.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fill,verb,A1,to make something full,/f?l/,Fill the glass with water.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
filling,noun,B1,a substance put inside something; the material inside a pie or tooth,/'f?l??/,The pie has a fruit filling.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
film,noun,A2,a movie; a thin layer of something,/f?lm/,We watched a film last night.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
film,verb,B1,to record moving pictures with a camera,/f?lm/,They filmed the event.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
film-maker,noun,B1,a person who makes movies,/'f?lme?k?(r)/,He is a famous film-maker.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
filter,noun,B1,a device or material for removing unwanted substances,/'f?lt?(r)/,The water filter needs changing.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
final,adjective,A2,last; coming at the end,/'fa?nl/,This is the final exam.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
final,noun,A2,the last game or match in a competition,/'fa?nl/,They reached the final.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
finally,adverb,A2,after a long time or delay,/'fa?n?li/,We finally arrived.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
finance,noun,B2,the management of money; money matters,/'fa?n?s/,He works in finance.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
finance,verb,B1,to provide money for something,/fa?'n?s/,The bank will finance the project.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
financial,adjective,B1,relating to money,/fa?'n??l/,She has financial problems.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
